Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,11.2,47,Good,7.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,12.6,52,Moderate,14.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,11.8,49,Good,11.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,9.9,41,Good,8.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,9.4,39,Good,9.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,9.2,38,Good,9.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,8.1,34,Good,7.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,7.2,30,Good,7.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,8.6,36,Good,10.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,8.3,35,Good,8.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,10.1,42,Good,12.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,9.5,40,Good,9.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,12.2,51,Moderate,15.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,12.6,52,Moderate,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,11.8,49,Good,11.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,11.4,48,Good,11.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,14.2,55,Moderate,17.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,17.1,62,Moderate,20.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,20.5,69,Moderate,24.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,23.7,75,Moderate,27.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,27.8,84,Moderate,32.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,26.4,81,Moderate,25.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,25.2,79,Moderate,24.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,24.1,76,Moderate,23.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,22.5,73,Moderate,21.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,21.2,70,Moderate,20.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,19.6,67,Moderate,18.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,18.9,65,Moderate,18.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,15.9,59,Moderate,13.0,UG/M3,1 Hr,Valid
