Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abu Dhabi,O3,2022-09-20 09:00 PM,2022,09,20,21,28.0,26,Good,27.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-20 10:00 PM,2022,09,20,22,24.0,22,Good,24.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-20 11:00 PM,2022,09,20,23,18.0,17,Good,16.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-21 12:00 AM,2022,09,21,00,16.0,15,Good,14.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-21 01:00 AM,2022,09,21,01,22.0,20,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-21 02:00 AM,2022,09,21,02,23.0,21,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-21 03:00 AM,2022,09,21,03,20.0,19,Good,18.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-21 04:00 AM,2022,09,21,04,19.0,18,Good,17.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-09-21 05:00 AM,2022,09,21,05,19.0,18,Good,-999.0,PPB,1 Hr,Missing
Abu Dhabi,O3,2022-09-21 06:00 AM,2022,09,21,06,19.0,18,Good,-999.0,PPB,1 Hr,Missing
Abu Dhabi,O3,2022-10-26 10:00 PM,2022,10,26,22,46.0,43,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-26 11:00 PM,2022,10,26,23,41.0,38,Good,43.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 12:00 AM,2022,10,27,00,38.0,35,Good,40.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 01:00 AM,2022,10,27,01,39.0,36,Good,41.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 02:00 AM,2022,10,27,02,24.0,22,Good,23.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 03:00 AM,2022,10,27,03,22.0,20,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 04:00 AM,2022,10,27,04,31.0,29,Good,32.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 05:00 AM,2022,10,27,05,30.0,28,Good,30.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 06:00 AM,2022,10,27,06,16.0,15,Good,13.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 07:00 AM,2022,10,27,07,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 08:00 AM,2022,10,27,08,6.0,6,Good,2.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 09:00 AM,2022,10,27,09,18.0,17,Good,16.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 10:00 AM,2022,10,27,10,23.0,21,Good,22.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 11:00 AM,2022,10,27,11,30.0,28,Good,30.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 12:00 PM,2022,10,27,12,38.0,35,Good,39.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 01:00 PM,2022,10,27,13,48.0,44,Good,52.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 02:00 PM,2022,10,27,14,56.0,54,Moderate,61.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 03:00 PM,2022,10,27,15,56.0,54,Moderate,60.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 04:00 PM,2022,10,27,16,57.0,58,Moderate,62.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 05:00 PM,2022,10,27,17,68.0,93,Moderate,75.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 06:00 PM,2022,10,27,18,67.0,90,Moderate,73.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 07:00 PM,2022,10,27,19,54.0,50,Good,59.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 08:00 PM,2022,10,27,20,37.0,34,Good,39.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 09:00 PM,2022,10,27,21,33.0,31,Good,34.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 10:00 PM,2022,10,27,22,34.0,31,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 11:00 PM,2022,10,27,23,35.0,32,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 12:00 AM,2022,10,28,00,33.0,31,Good,34.0,PPB,1 Hr,Valid
