Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,O3,2019-01-01 01:00 AM,2019,01,01,01,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 02:00 AM,2019,01,01,02,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 03:00 AM,2019,01,01,03,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 04:00 AM,2019,01,01,04,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 05:00 AM,2019,01,01,05,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 06:00 AM,2019,01,01,06,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 07:00 AM,2019,01,01,07,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 08:00 AM,2019,01,01,08,-999.0,-999,N/A,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 09:00 AM,2019,01,01,09,-999.0,-999,N/A,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 10:00 AM,2019,01,01,10,-999.0,-999,N/A,19.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 11:00 AM,2019,01,01,11,-999.0,-999,N/A,33.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 12:00 PM,2019,01,01,12,-999.0,-999,N/A,41.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 01:00 PM,2019,01,01,13,-999.0,-999,N/A,47.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 02:00 PM,2019,01,01,14,-999.0,-999,N/A,52.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2019-01-01 03:00 PM,2019,01,01,15,-999.0,-999,N/A,51.0,PPB,1 Hr,Valid
