Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Nairobi,PM2.5 - Principal,2024-03-07 12:00 PM,2024,03,07,12,-999.0,-999,N/A,15.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 01:00 PM,2024,03,07,13,16.0,64,Moderate,16.8,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 02:00 PM,2024,03,07,14,15.9,64,Moderate,15.6,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 03:00 PM,2024,03,07,15,14.3,61,Moderate,11.9,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 04:00 PM,2024,03,07,16,12.3,57,Moderate,10.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 05:00 PM,2024,03,07,17,11.4,55,Moderate,10.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 06:00 PM,2024,03,07,18,12.2,57,Moderate,13.5,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 07:00 PM,2024,03,07,19,17.5,67,Moderate,22.6,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 08:00 PM,2024,03,07,20,19.2,70,Moderate,21.0,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 09:00 PM,2024,03,07,21,20.3,72,Moderate,21.3,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 10:00 PM,2024,03,07,22,19.9,71,Moderate,19.6,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-07 11:00 PM,2024,03,07,23,17.0,66,Moderate,14.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 12:00 AM,2024,03,08,00,14.5,61,Moderate,12.0,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 01:00 AM,2024,03,08,01,13.9,60,Moderate,13.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 02:00 AM,2024,03,08,02,11.5,55,Moderate,9.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 03:00 AM,2024,03,08,03,10.4,53,Moderate,9.3,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 04:00 AM,2024,03,08,04,10.0,53,Moderate,9.5,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 05:00 AM,2024,03,08,05,9.9,52,Moderate,9.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 06:00 AM,2024,03,08,06,9.3,51,Moderate,8.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 07:00 AM,2024,03,08,07,13.4,59,Moderate,17.6,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 08:00 AM,2024,03,08,08,14.1,60,Moderate,14.7,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 09:00 AM,2024,03,08,09,12.0,56,Moderate,9.8,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 10:00 AM,2024,03,08,10,17.1,66,Moderate,22.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 11:00 AM,2024,03,08,11,26.8,84,Moderate,36.4,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 12:00 PM,2024,03,08,12,35.9,102,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 01:00 PM,2024,03,08,13,32.0,94,Moderate,28.1,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 02:00 PM,2024,03,08,14,22.1,75,Moderate,12.2,UG/M3,1 Hr,Valid
Nairobi,PM2.5 - Principal,2024-03-08 03:00 PM,2024,03,08,15,22.1,75,Moderate,-999.0,UG/M3,1 Hr,Missing
