Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,109.8,179,Unhealthy,126.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,112.1,180,Unhealthy,117.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,110.5,179,Unhealthy,107.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,115.5,182,Unhealthy,126.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,120.8,185,Unhealthy,130.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,132.3,191,Unhealthy,146.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,132.7,191,Unhealthy,134.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,135.5,192,Unhealthy,141.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,126.4,188,Unhealthy,110.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,128.1,188,Unhealthy,132.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,122.5,186,Unhealthy,107.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,121.6,185,Unhealthy,119.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,119.7,184,Unhealthy,115.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,107.1,178,Unhealthy,90.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,93.5,171,Unhealthy,80.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,90.5,169,Unhealthy,87.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,87.5,168,Unhealthy,84.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,85.8,167,Unhealthy,83.0,UG/M3,1 Hr,Valid
