Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Doha,PM2.5 - Principal,2024-06-11 07:00 PM,2024,06,11,19,-999.0,-999,N/A,85.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-11 08:00 PM,2024,06,11,20,92.5,177,Unhealthy,99.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-11 09:00 PM,2024,06,11,21,97.7,181,Unhealthy,105.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-11 10:00 PM,2024,06,11,22,59.6,154,Unhealthy,24.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-11 11:00 PM,2024,06,11,23,76.3,166,Unhealthy,92.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 12:00 AM,2024,06,12,00,84.8,172,Unhealthy,93.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 01:00 AM,2024,06,12,01,42.0,117,Unhealthy for Sensitive Groups,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 02:00 AM,2024,06,12,02,68.6,160,Unhealthy,95.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 03:00 AM,2024,06,12,03,80.3,168,Unhealthy,92.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 04:00 AM,2024,06,12,04,87.1,173,Unhealthy,94.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 05:00 AM,2024,06,12,05,87.5,173,Unhealthy,88.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 06:00 AM,2024,06,12,06,86.2,173,Unhealthy,85.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 07:00 AM,2024,06,12,07,84.1,171,Unhealthy,82.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 08:00 AM,2024,06,12,08,81.5,169,Unhealthy,79.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 09:00 AM,2024,06,12,09,65.7,158,Unhealthy,50.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 10:00 AM,2024,06,12,10,50.8,139,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 11:00 AM,2024,06,12,11,39.4,111,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 12:00 PM,2024,06,12,12,35.7,101,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 01:00 PM,2024,06,12,13,30.3,90,Moderate,25.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 02:00 PM,2024,06,12,14,26.1,83,Moderate,22.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 03:00 PM,2024,06,12,15,25.0,81,Moderate,24.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 04:00 PM,2024,06,12,16,24.5,80,Moderate,24.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 05:00 PM,2024,06,12,17,22.7,76,Moderate,21.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 06:00 PM,2024,06,12,18,36.8,104,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 07:00 PM,2024,06,12,19,25.9,82,Moderate,15.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 08:00 PM,2024,06,12,20,21.9,75,Moderate,18.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 09:00 PM,2024,06,12,21,48.4,133,Unhealthy for Sensitive Groups,75.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 10:00 PM,2024,06,12,22,56.2,151,Unhealthy,64.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-12 11:00 PM,2024,06,12,23,34.6,99,Moderate,13.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 12:00 AM,2024,06,13,00,43.3,120,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 01:00 AM,2024,06,13,01,45.1,125,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 02:00 AM,2024,06,13,02,50.0,137,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 03:00 AM,2024,06,13,03,50.0,137,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 04:00 AM,2024,06,13,04,50.5,138,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 05:00 AM,2024,06,13,05,52.7,143,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 06:00 AM,2024,06,13,06,32.8,95,Moderate,13.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 07:00 AM,2024,06,13,07,40.9,114,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 08:00 AM,2024,06,13,08,44.4,123,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 09:00 AM,2024,06,13,09,26.7,84,Moderate,9.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 10:00 AM,2024,06,13,10,26.8,84,Moderate,27.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 11:00 AM,2024,06,13,11,25.4,81,Moderate,24.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 12:00 PM,2024,06,13,12,23.7,78,Moderate,22.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 01:00 PM,2024,06,13,13,24.8,80,Moderate,26.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 02:00 PM,2024,06,13,14,12.4,57,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 03:00 PM,2024,06,13,15,23.2,77,Moderate,34.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 04:00 PM,2024,06,13,16,23.1,77,Moderate,23.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 05:00 PM,2024,06,13,17,22.0,75,Moderate,21.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 06:00 PM,2024,06,13,18,23.0,77,Moderate,24.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 07:00 PM,2024,06,13,19,26.0,82,Moderate,29.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 08:00 PM,2024,06,13,20,28.5,87,Moderate,31.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 09:00 PM,2024,06,13,21,30.2,90,Moderate,32.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 10:00 PM,2024,06,13,22,30.6,91,Moderate,31.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-13 11:00 PM,2024,06,13,23,35.3,100,Moderate,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 12:00 AM,2024,06,14,00,37.6,106,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 01:00 AM,2024,06,14,01,23.8,78,Moderate,10.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 02:00 AM,2024,06,14,02,32.9,95,Moderate,42.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 03:00 AM,2024,06,14,03,35.4,100,Moderate,38.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 04:00 AM,2024,06,14,04,35.7,101,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 05:00 AM,2024,06,14,05,34.8,99,Moderate,34.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 06:00 AM,2024,06,14,06,17.4,66,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 07:00 AM,2024,06,14,07,28.2,87,Moderate,39.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 08:00 AM,2024,06,14,08,32.1,94,Moderate,36.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 09:00 AM,2024,06,14,09,30.5,91,Moderate,29.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 10:00 AM,2024,06,14,10,28.7,88,Moderate,27.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 11:00 AM,2024,06,14,11,29.8,90,Moderate,31.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 12:00 PM,2024,06,14,12,31.4,93,Moderate,33.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 01:00 PM,2024,06,14,13,15.7,63,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 02:00 PM,2024,06,14,14,20.8,73,Moderate,26.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 03:00 PM,2024,06,14,15,20.9,73,Moderate,21.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 04:00 PM,2024,06,14,16,18.9,69,Moderate,17.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 05:00 PM,2024,06,14,17,9.4,52,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 06:00 PM,2024,06,14,18,4.7,26,Good,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 07:00 PM,2024,06,14,19,15.8,63,Moderate,27.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 08:00 PM,2024,06,14,20,21.9,75,Moderate,28.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 09:00 PM,2024,06,14,21,15.4,63,Moderate,9.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 10:00 PM,2024,06,14,22,26.2,83,Moderate,37.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-14 11:00 PM,2024,06,14,23,32.1,94,Moderate,38.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 12:00 AM,2024,06,15,00,32.5,95,Moderate,33.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 01:00 AM,2024,06,15,01,32.7,95,Moderate,33.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 02:00 AM,2024,06,15,02,20.3,72,Moderate,8.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 03:00 AM,2024,06,15,03,27.1,85,Moderate,34.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 04:00 AM,2024,06,15,04,28.0,86,Moderate,29.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 05:00 AM,2024,06,15,05,33.5,96,Moderate,39.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 06:00 AM,2024,06,15,06,33.2,96,Moderate,33.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 07:00 AM,2024,06,15,07,35.6,101,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 08:00 AM,2024,06,15,08,35.8,102,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 09:00 AM,2024,06,15,09,35.4,100,Moderate,35.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 10:00 AM,2024,06,15,10,34.7,99,Moderate,34.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 11:00 AM,2024,06,15,11,33.8,97,Moderate,33.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 12:00 PM,2024,06,15,12,30.4,91,Moderate,27.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 01:00 PM,2024,06,15,13,36.7,104,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 02:00 PM,2024,06,15,14,18.3,68,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 03:00 PM,2024,06,15,15,29.1,88,Moderate,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 04:00 PM,2024,06,15,16,39.5,111,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 05:00 PM,2024,06,15,17,19.7,71,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 06:00 PM,2024,06,15,18,39.3,110,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 07:00 PM,2024,06,15,19,51.2,140,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 08:00 PM,2024,06,15,20,54.6,148,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 09:00 PM,2024,06,15,21,56.8,152,Unhealthy,59.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 10:00 PM,2024,06,15,22,60.4,154,Unhealthy,64.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-15 11:00 PM,2024,06,15,23,30.1,90,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 12:00 AM,2024,06,16,00,15.0,62,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 01:00 AM,2024,06,16,01,33.5,96,Moderate,52.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 02:00 AM,2024,06,16,02,42.7,119,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 03:00 AM,2024,06,16,03,27.3,85,Moderate,12.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 04:00 AM,2024,06,16,04,37.6,106,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 05:00 AM,2024,06,16,05,43.8,121,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 06:00 AM,2024,06,16,06,51.9,141,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 07:00 AM,2024,06,16,07,59.9,154,Unhealthy,68.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 08:00 AM,2024,06,16,08,50.9,139,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 09:00 AM,2024,06,16,09,51.4,140,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 10:00 AM,2024,06,16,10,25.7,82,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 11:00 AM,2024,06,16,11,35.3,100,Moderate,45.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 12:00 PM,2024,06,16,12,21.6,74,Moderate,8.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 01:00 PM,2024,06,16,13,15.3,63,Moderate,9.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 02:00 PM,2024,06,16,14,34.1,98,Moderate,53.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 03:00 PM,2024,06,16,15,41.0,115,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 04:00 PM,2024,06,16,16,43.0,119,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 05:00 PM,2024,06,16,17,38.0,107,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 06:00 PM,2024,06,16,18,38.0,107,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 07:00 PM,2024,06,16,19,40.5,113,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 08:00 PM,2024,06,16,20,20.2,72,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 09:00 PM,2024,06,16,21,29.1,88,Moderate,38.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 10:00 PM,2024,06,16,22,31.5,93,Moderate,34.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-16 11:00 PM,2024,06,16,23,15.7,63,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 12:00 AM,2024,06,17,00,21.8,75,Moderate,28.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 01:00 AM,2024,06,17,01,24.4,80,Moderate,27.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 02:00 AM,2024,06,17,02,28.2,87,Moderate,32.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 03:00 AM,2024,06,17,03,29.1,88,Moderate,30.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 04:00 AM,2024,06,17,04,34.5,98,Moderate,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 05:00 AM,2024,06,17,05,37.2,105,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 06:00 AM,2024,06,17,06,40.6,114,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 07:00 AM,2024,06,17,07,24.8,80,Moderate,9.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 08:00 AM,2024,06,17,08,42.9,119,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 09:00 AM,2024,06,17,09,41.4,116,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 10:00 AM,2024,06,17,10,36.7,104,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 11:00 AM,2024,06,17,11,18.3,68,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 12:00 PM,2024,06,17,12,15.6,63,Moderate,13.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 01:00 PM,2024,06,17,13,29.3,89,Moderate,43.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 02:00 PM,2024,06,17,14,14.6,61,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 03:00 PM,2024,06,17,15,28.8,88,Moderate,43.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 04:00 PM,2024,06,17,16,36.9,104,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 05:00 PM,2024,06,17,17,25.4,81,Moderate,14.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 06:00 PM,2024,06,17,18,42.7,119,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 07:00 PM,2024,06,17,19,47.8,131,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 08:00 PM,2024,06,17,20,49.9,136,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 09:00 PM,2024,06,17,21,50.4,138,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 10:00 PM,2024,06,17,22,49.2,135,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-17 11:00 PM,2024,06,17,23,44.1,122,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 12:00 AM,2024,06,18,00,43.5,121,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 01:00 AM,2024,06,18,01,45.7,126,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 02:00 AM,2024,06,18,02,39.3,110,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 03:00 AM,2024,06,18,03,43.6,121,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 04:00 AM,2024,06,18,04,41.3,115,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 05:00 AM,2024,06,18,05,46.7,129,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 06:00 AM,2024,06,18,06,49.2,135,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 07:00 AM,2024,06,18,07,53.8,146,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 08:00 AM,2024,06,18,08,60.8,155,Unhealthy,67.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 09:00 AM,2024,06,18,09,61.9,155,Unhealthy,63.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 10:00 AM,2024,06,18,10,64.4,157,Unhealthy,67.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 11:00 AM,2024,06,18,11,64.2,157,Unhealthy,64.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 12:00 PM,2024,06,18,12,57.6,152,Unhealthy,51.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 01:00 PM,2024,06,18,13,28.8,88,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 02:00 PM,2024,06,18,14,22.4,76,Moderate,16.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 03:00 PM,2024,06,18,15,40.2,113,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 04:00 PM,2024,06,18,16,57.6,152,Unhealthy,75.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 05:00 PM,2024,06,18,17,60.3,154,Unhealthy,63.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 06:00 PM,2024,06,18,18,56.6,152,Unhealthy,53.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 07:00 PM,2024,06,18,19,28.3,87,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 08:00 PM,2024,06,18,20,34.1,98,Moderate,40.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 09:00 PM,2024,06,18,21,39.0,110,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 10:00 PM,2024,06,18,22,41.5,116,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-18 11:00 PM,2024,06,18,23,20.7,73,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 12:00 AM,2024,06,19,00,34.3,98,Moderate,48.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 01:00 AM,2024,06,19,01,42.6,118,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 02:00 AM,2024,06,19,02,45.8,126,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 03:00 AM,2024,06,19,03,47.4,130,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 04:00 AM,2024,06,19,04,47.2,130,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 05:00 AM,2024,06,19,05,48.6,133,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 06:00 AM,2024,06,19,06,53.8,146,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 07:00 AM,2024,06,19,07,33.9,97,Moderate,14.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 08:00 AM,2024,06,19,08,23.9,79,Moderate,14.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 09:00 AM,2024,06,19,09,40.9,114,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 10:00 AM,2024,06,19,10,47.4,130,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 11:00 AM,2024,06,19,11,30.2,90,Moderate,13.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 12:00 PM,2024,06,19,12,19.1,70,Moderate,8.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 01:00 PM,2024,06,19,13,9.5,52,Moderate,0.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 02:00 PM,2024,06,19,14,34.7,99,Moderate,60.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 03:00 PM,2024,06,19,15,46.8,129,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Doha,PM2.5 - Principal,2024-06-19 04:00 PM,2024,06,19,16,55.4,150,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
