Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,175.6,226,Very Unhealthy,161.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,148.3,199,Unhealthy,121.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,133.6,191,Unhealthy,119.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,135.3,192,Unhealthy,137.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,126.6,188,Unhealthy,118.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,128.3,189,Unhealthy,130.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,155.6,206,Very Unhealthy,183.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,196.3,246,Very Unhealthy,237.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,206.1,256,Very Unhealthy,216.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,158.5,209,Very Unhealthy,111.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,137.2,193,Unhealthy,116.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,83.6,166,Unhealthy,30.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,62.7,155,Unhealthy,42.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,46.8,129,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,51.9,141,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,52.4,143,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,58.2,152,Unhealthy,64.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,83.1,165,Unhealthy,108.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,119.0,184,Unhealthy,155.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,147.0,198,Unhealthy,175.0,UG/M3,1 Hr,Valid
