Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,52.5,143,Unhealthy for Sensitive Groups,72.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,41.7,116,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,29.8,88,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,19.9,67,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,16.9,61,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,13.9,55,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,11.4,48,Good,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,11.7,49,Good,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,9.8,41,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,10.4,43,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,12.2,51,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,17.1,62,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,18.5,64,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,18.2,64,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,20.1,68,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,16.5,60,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,17.2,62,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,17.6,63,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,18.6,65,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,16.8,61,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,16.2,60,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,14.8,57,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,15.3,58,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 01:00 AM,2023,01,02,01,10.6,44,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 02:00 AM,2023,01,02,02,11.8,49,Good,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 03:00 AM,2023,01,02,03,10.4,43,Good,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 04:00 AM,2023,01,02,04,10.2,43,Good,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 05:00 AM,2023,01,02,05,11.5,48,Good,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 06:00 AM,2023,01,02,06,13.2,53,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 07:00 AM,2023,01,02,07,15.1,57,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 08:00 AM,2023,01,02,08,13.5,54,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 09:00 AM,2023,01,02,09,12.7,52,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 10:00 AM,2023,01,02,10,13.8,55,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 11:00 AM,2023,01,02,11,19.4,66,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 12:00 PM,2023,01,02,12,19.2,66,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-01-02 01:00 PM,2023,01,02,13,16.6,60,Moderate,14.0,UG/M3,1 Hr,Valid
